46218,탱커선계약량_DWT
06.02.023.525,선박용엔진_2010=100
13.01.006.002.001,국가별수입액 일본_천달러
13.01.006.002.002,국가별수입액 중국_천달러
14970,BDI지수_Index
53163,중국석탄_Million Tonnes
14.09.002.004,주요상품선물_WTI-1M_$/bbl
46204,벌크선계약량_DWT
29894,탱커선인도량_Million DWT
58618,미국곡물_M tonnes
14.09.002.003,주요상품선물_DUBAI(ASIA1M)_$/bbl
06.02.021.426,외항운송_2010=100
06.02.021.424,수상운송_2010=100
45390,탱커선발주잔량_DWT
20651,신조선가지수_Index
97726,평균탱커선수익_$/Day
30879,컨테이너선선복량_,000 TEU
98499,CCFI지수_Index
30932,컨테이너선인도량_,000 TEU
12508,탱커선중고선가지수_Index
14.09.005.014,CRB지수(Spot); 산업용 원자재_Pt
97738,평균컨테이너선수익_$/Day
14.09.005.011,주요상품지수_CRB지수(Spot)_Pt
14.09.005.013,CRB지수(Spot); 섬유(Burlap, cotton, print cloth, wool tops)_Pt
14.09.005.012,CRB지수(Spot); 금속(Copper, lead, steel, tin, zinc)_Pt
541309,원유_M bpd
19597,브렌트유_$/bbl
43520,BCTI지수_Index
88944,싱가포르연료유_$/Tonne
13.01.006.002.020,국가별수입액 미국_천달러
13.03.006.001.001,평균환율_미국(달러)_통화대원
13.03.006.001.026,평균환율_중국(위안)_통화대원
13.03.006.001.002,평균환율_일본(100엔)_(100)통화대원
30213,벌크선선복량_Million DWT
30234,벌크선해체량_Million DWT
30236,벌크선인도량_DWT
14948,리보금리_%
30916,컨테이너선해체량_,000 TEU
40482,중국철광석_Million Tonnes
13.06.001.001,경상수지_백만달러 
13.06.001.002,상품수지_백만달러 
533979,인도석탄_,000 tonnes
46206,컨테이너선계약량_TEU
533973,호주연료탄_$/Tonne
13.01.005.002.002,국가별수출액 중국_천달러
13.01.005.002.020,국가별수출액 미국_천달러
97730,평균벌크선수익_$/Day
06.01.010.001.001,소비자물가지수 총지수_2010=100
13.01.005.002.001,국가별수출액 일본_천달러
29454,탱커선신조선가지수_Index
94431,컨테이너선중고선가지수_Index
13.03.007.001.005,한국 WON(외국환중개종가)_달러대원
45378,컨테이너선발주잔량_TEU
69813,컨테이너선신조선가지수_Index
29820,한국연료유_$/Tonne
86174,중고선가지수_Index
24447,중동원유_M bpd
14.09.005.001,주요상품지수_CRB지수(Futures)_Pt
13.01.009.005,무역수지_억달러
43515,BDTI지수_Index
45376,벌크선발주잔량_DWT
