,YYYYMM,DATE,06.01.010.001.001,06.02.021.424,06.02.021.426,06.02.023.525,13.01.005.002.001,13.01.005.002.002,13.01.005.002.020,13.01.006.002.001,13.01.006.002.002,13.01.006.002.020,13.01.009.005,13.03.006.001.001
0,200402,24050,82.7519989014,110.819999695,122.529998779,78.6800003052,1732592.0,3686546.0,3097012.0,3776314.0,1812533.0,2182455.0,16.6840000153,1166.68505859
1,200403,24051,83.5559997559,110.940002441,122.680000305,78.6800003052,1911030.0,4030541.0,3534533.0,4153125.0,2353104.0,2453066.0,20.547700882,1166.34094238
2,200404,24052,83.5559997559,104.739997864,114.290000916,78.6800003052,1818284.0,4097865.0,3544623.0,4047442.0,2438358.0,2273711.0,26.5340003967,1150.8449707
3,200405,24053,83.483001709,99.7840150997,109.260002136,78.6800003052,1863901.0,4296987.0,3559013.0,3568102.0,2426657.0,2402048.0,29.3887004852,1177.37365723
4,200406,24054,83.483001709,98.6665341414,103.849998474,78.6800003052,1696811.0,4113747.0,4106098.0,3922315.0,2369426.0,2538623.0,31.1275997162,1158.65002441
5,200407,24055,83.9950027466,101.86000061,110.099998474,78.6800003052,1836487.0,4479870.0,3623192.0,4119323.0,2416075.0,2378642.0,26.1369991302,1157.66357422
6,200408,24056,84.7249984741,106.629997253,116.5,78.6800003052,1604839.0,4101366.0,3470222.0,3561969.0,2475827.0,2572372.0,16.7460002899,1158.99536133
7,200409,24057,84.7249984741,105.569999695,115.129997253,78.6800003052,1728689.0,4167502.0,3616201.0,3682865.0,2475898.0,2407137.0,26.3777999878,1147.97363281
8,200410,24058,84.7249984741,112.13999939,123.819999695,78.6800003052,1889740.0,4554438.0,4037438.0,4034921.0,2878408.0,2713016.0,22.550699234,1144.04284668
9,200411,24059,84.2139968872,118.010002136,131.600006104,78.6800003052,2033609.0,4470634.0,3809460.0,3874409.0,2949768.0,2313863.0,27.6464004517,1091.19091797
10,200412,24060,84.3600006104,116.800003052,130.0,78.6800003052,2032463.0,4442741.0,3806704.0,4111912.0,2929934.0,2626726.0,22.297000885,1050.91296387
11,200501,24061,85.1910018921,97.3700027466,105.940002441,78.6800003052,1873433.0,4478630.0,3478720.0,3668713.0,3050960.0,2602001.0,30.0401992798,1038.23327637
12,200502,24062,85.5360031128,93.6699981689,100.099998474,78.6800003052,1724001.0,4067752.0,2943673.0,3678072.0,2424721.0,2457854.0,20.0417995453,1022.42938232
13,200503,24063,86.0530014038,95.8199996948,102.819999695,78.6800003052,2090277.0,5100933.0,3847123.0,4295684.0,3318878.0,2671754.0,11.7263002396,1007.49090576
14,200504,24064,86.138999939,95.3899993896,102.13999939,78.6800003052,1927815.0,4934865.0,3461143.0,4168798.0,3367807.0,2474397.0,16.2800998688,1010.93499756
15,200505,24065,86.0530014038,92.8899993896,98.4400024414,82.5,2112347.0,5084554.0,3049347.0,3789772.0,3417804.0,2401004.0,19.6091995239,1002.21417236
16,200506,24066,85.7939987183,89.4300003052,92.6999969482,82.5,2016336.0,5431810.0,3281114.0,4088812.0,3238887.0,2630202.0,24.189699173,1010.87139893
17,200507,24067,86.138999939,89.0999984741,91.8199996948,82.5,1947968.0,5341838.0,3274529.0,3916019.0,3095095.0,2571218.0,17.2668991089,1037.44274902
18,200508,24068,86.3970031738,88.7300033569,91.2399978638,82.5,1904502.0,5423375.0,3254946.0,3964112.0,3212406.0,2647907.0,13.4212999344,1021.17272949
19,200509,24069,86.8280029297,89.6900024414,92.4100036621,82.5,2038942.0,5540812.0,3535928.0,4279926.0,3189359.0,2357418.0,18.0053005219,1029.33325195
20,200510,24070,86.65599823,93.2699966431,98.0500030518,82.5,2052963.0,5493539.0,3602662.0,4243038.0,3350890.0,2459470.0,27.0000991821,1046.25
21,200511,24071,86.3109970093,92.9599990845,97.5699996948,82.5,2130222.0,5532306.0,3939417.0,4196032.0,3592994.0,2567368.0,19.7663993835,1041.42724609
22,200512,24072,86.5699996948,91.4800033569,95.2300033569,82.5,2208632.0,5484571.0,3673983.0,4114205.0,3388441.0,2745344.0,14.4568996429,1024.15454102
23,200601,24073,87.0859985352,86.1600036621,85.5899963379,82.5,2107219.0,4800573.0,3260918.0,3599079.0,3479305.0,2550570.0,1.68560004234,987.028503418
24,200602,24074,87.2590026855,86.1399993896,85.5899963379,82.7399978638,2061299.0,4837639.0,3145899.0,4120758.0,3084691.0,2584950.0,2.79169988632,970.219970703
25,200603,24075,87.7750015259,85.1600036621,84.0299987793,82.7399978638,2180383.0,5725008.0,3862475.0,4665548.0,4071534.0,2987784.0,8.95129966736,975.090881348
26,200604,24076,87.8619995117,83.1900024414,80.4300003052,82.7399978638,1940871.0,5428865.0,3538737.0,4250673.0,3823924.0,2787257.0,11.0430002213,954.434997559
27,200605,24077,88.033996582,81.6399993896,77.9899978638,82.7399978638,2310335.0,5768059.0,3516047.0,4338862.0,3965956.0,2745301.0,17.241399765,941.400024414
28,200606,24078,87.8619995117,83.3700027466,80.7200012207,82.7399978638,2363667.0,5982892.0,3787495.0,4571035.0,3976046.0,2721041.0,19.2534008026,955.16192627
29,200607,24079,88.2060012817,85.5100021362,84.0299987793,82.7399978638,2077097.0,5644308.0,3593550.0,4295923.0,3770480.0,2814719.0,2.24629998207,950.150024414
30,200608,24080,88.7229995728,88.1600036621,88.2200012207,82.7399978638,2230653.0,6221786.0,3551040.0,4207391.0,4212984.0,3051999.0,2.57730007172,960.718078613
31,200609,24081,88.9810028076,89.1100006104,90.1699981689,82.7399978638,2369865.0,6363845.0,3828545.0,4546859.0,4682673.0,3050814.0,20.1459999084,953.676086426
