,YYYYMM,DATE,00000
0,200403,24051,5.41884425891
1,200404,24052,5.40645122815
2,200405,24053,5.12048984004
3,200406,24054,4.36392186939
4,200407,24055,3.25990011166
5,200408,24056,2.80682871862
6,200409,24057,2.72191116592
7,200410,24058,2.51610358637
8,200411,24059,2.37475856262
9,200412,24060,2.76145866222
10,200501,24061,2.57503641827
11,200502,24062,2.308277374
12,200503,24063,2.06739829341
13,200504,24064,1.70575111111
14,200505,24065,2.10017777778
15,200506,24066,1.49012222222
16,200507,24067,1.32754555556
17,200508,24068,1.72107666667
18,200509,24069,1.05069888889
19,200510,24070,1.28986
20,200511,24071,1.23845777778
21,200512,24072,1.35477444444
22,200601,24073,1.78134222222
23,200602,24074,1.71755888889
24,200603,24075,2.14037222222
25,200604,24076,2.49602666667
26,200605,24077,3.39993
27,200606,24078,3.68987555556
28,200607,24079,3.48553555556
29,200608,24080,3.28628222222
30,200609,24081,3.72329666667
31,200610,24082,3.43571333333
32,200611,24083,2.56176111111
33,200612,24084,3.49534555556
34,200701,24085,2.82804666667
35,200702,24086,3.08092222222
36,200703,24087,2.82579111111
37,200704,24088,1.40298111111
38,200705,24089,1.29948111111
39,200706,24090,1.44240222222
40,200707,24091,0.771714444444
41,200708,24092,1.14558555556
42,200709,24093,1.51411444444
43,200710,24094,1.62013333333
44,200711,24095,1.80725777778
45,200712,24096,1.98138
46,200801,24097,3.069552
47,200802,24098,2.059819
48,200803,24099,1.85341818182
49,200804,24100,1.59996
50,200805,24101,1.84504545455
51,200806,24102,2.89443272727
52,200807,24103,3.23135181818
53,200808,24104,3.44293909091
54,200809,24105,3.90997181818
55,200810,24106,7.92286454545
56,200811,24107,9.01088
57,200812,24108,8.76145272727
58,200901,24109,7.76678181818
59,200902,24110,8.21732909091
60,200903,24111,7.27331636364
61,200904,24112,6.36373272727
62,200905,24113,4.792009
63,200906,24114,5.600172
64,200907,24115,3.369527
65,200908,24116,3.390528
66,200909,24117,4.67785
67,200910,24118,4.702036
68,200911,24119,4.859657
69,200912,24120,6.991891
70,201001,24121,6.927964
71,201002,24122,6.960451
72,201003,24123,5.482979
73,201004,24124,5.462822
74,201005,24125,6.77747545455
75,201006,24126,6.56897090909
76,201007,24127,5.78284
77,201008,24128,5.98852363636
78,201009,24129,5.60381
79,201010,24130,4.3775
80,201011,24131,5.15148818182
81,201012,24132,4.69093818182
82,201101,24133,4.91029090909
83,201102,24134,5.94563181818
84,201103,24135,4.389218
85,201104,24136,4.469569
86,201105,24137,4.323467
87,201106,24138,4.656681
88,201107,24139,4.562509
89,201108,24140,4.914678
90,201109,24141,5.234043
91,201110,24142,5.790665
92,201111,24143,5.711136
93,201112,24144,5.065611
94,201201,24145,5.572766
95,201202,24146,4.258447
96,201203,24147,4.693585
97,201204,24148,5.343122
98,201205,24149,7.348932
99,201206,24150,8.475177
100,201207,24151,8.688026
101,201208,24152,8.091463
102,201209,24153,6.441125
103,201210,24154,6.373821
104,201211,24155,7.467705
105,201212,24156,6.774521
106,201301,24157,5.526718
107,201302,24158,5.969804
108,201303,24159,6.663883
109,201304,24160,6.302724
110,201305,24161,5.805204
111,201306,24162,6.249984
112,201307,24163,5.518859
113,201308,24164,5.961916
114,201309,24165,5.850042
115,201310,24166,6.579237
116,201311,24167,6.749769
117,201312,24168,6.43478
118,201401,24169,6.156233
119,201402,24170,6.374551
120,201403,24171,6.624533
121,201404,24172,6.406551
122,201405,24173,6.549535
123,201406,24174,6.420219
124,201407,24175,5.525504
125,201408,24176,6.13836370676
126,201409,24177,5.18497190176
127,201410,24178,5.20754691299
128,201411,24179,5.16504534022
129,201412,24180,4.50892605795
130,201501,24181,4.66648131473
131,201502,24182,4.80069834988
132,201503,24183,4.40149032363
