,YYYYMM,DATE,99999
0,200203,24027,463.4400000000079
1,200204,24028,508.3300000000058
2,200205,24029,602.6700000000103
3,200206,24030,519.3300000000123
4,200207,24031,558.0500000000056
5,200208,24032,566.8400000000111
6,200209,24033,513.7100000000069
7,200210,24034,642.9800000000072
8,200211,24035,760.760000000007
9,200212,24036,749.2400000000046
10,200301,24037,752.7800000000103
11,200302,24038,998.8900000000095
12,200303,24039,948.860000000011
13,200304,24040,1267.7500000000052
14,200305,24041,1551.7900000000109
15,200306,24042,1662.7500000000064
16,200307,24043,1704.8900000000112
17,200308,24044,1642.4400000000096
18,200309,24045,1580.7200000000018
19,200310,24046,1378.700000000002
20,200311,24047,1360.8600000000063
21,200312,24048,1534.7400000000084
22,200401,24049,1497.2800000000068
23,200402,24050,1842.9400000000114
24,200403,24051,1769.7800000000068
25,200404,24052,2080.3899999999994
26,200405,24053,2373.1100000000056
27,200406,24054,2276.840000000012
28,200407,24055,2229.3300000000127
29,200408,24056,2814.0900000000097
30,200409,24057,2670.000000000001
31,200410,24058,2481.4400000000073
32,200411,24059,2451.5100000000175
33,200412,24060,2413.0200000000145
34,200501,24061,2505.7100000000105
35,200502,24062,2188.9100000000058
36,200503,24063,2461.780000000017
37,200504,24064,2153.5100000000093
38,200505,24065,2156.2200000000066
39,200506,24066,2194.270000000005
40,200507,24067,2200.2900000000036
41,200508,24068,2215.1899999999982
42,200509,24069,2138.7599999999993
43,200510,24070,2602.1600000000017
44,200511,24071,2546.359999999995
45,200512,24072,2440.7599999999993
46,200601,24073,2088.7100000000037
47,200602,24074,2414.3699999999935
48,200603,24075,2526.7699999999886
49,200604,24076,2531.0199999999863
50,200605,24077,3039.470000000003
51,200606,24078,2863.399999999985
52,200607,24079,2651.719999999992
53,200608,24080,3020.199999999981
54,200609,24081,3422.7599999999907
55,200610,24082,4303.659999999992
56,200611,24083,5723.749999999992
57,200612,24084,5053.059999999981
58,200701,24085,6872.229999999983
59,200702,24086,6961.069999999991
60,200703,24087,7310.049999999998
61,200704,24088,9467.949999999992
62,200705,24089,7809.4399999999805
63,200706,24090,6893.449999999984
64,200707,24091,5248.2099999999855
65,200708,24092,6138.319999999975
66,200709,24093,6439.449999999982
67,200710,24094,6769.5299999999925
68,200711,24095,6582.229999999996
69,200712,24096,6068.059999999997
70,200801,24097,5939.300000000003
71,200802,24098,5433.179999999996
72,200803,24099,5167.39999999999
73,200804,24100,3467.7299999999855
74,200805,24101,3379.10999999999
75,200806,24102,3728.959999999987
76,200807,24103,3508.059999999997
77,200808,24104,2753.589999999994
78,200809,24105,3165.349999999997
79,200810,24106,3421.019999999997
80,200811,24107,3489.9399999999987
81,200812,24108,3199.969999999993
82,200901,24109,3465.9599999999978
83,200902,24110,3373.2199999999916
84,200903,24111,3359.389999999996
85,200904,24112,3038.629999999992
86,200905,24113,3000.269999999988
87,200906,24114,3140.409999999982
88,200907,24115,3383.479999999989
89,200908,24116,3534.149999999993
90,200909,24117,3976.2699999999923
91,200910,24118,3858.5399999999972
92,200911,24119,3522.269999999992
93,200912,24120,4061.689999999994
94,201001,24121,3860.559999999994
95,201002,24122,3625.159999999989
96,201003,24123,4356.600000000001
97,201004,24124,3920.860000000001
98,201005,24125,4137.949999999993
99,201006,24126,4065.9500000000007
100,201007,24127,3777.5899999999933
101,201008,24128,3382.6699999999846
102,201009,24129,3557.719999999991
103,201010,24130,3112.539999999995
104,201011,24131,2956.0999999999995
105,201012,24132,2722.49
106,201101,24133,2662.9000000000015
107,201102,24134,2451.710000000001
108,201103,24135,2015.7700000000025
109,201104,24136,2184.5400000000013
110,201105,24137,1756.6100000000017
111,201106,24138,1967.9699999999993
112,201107,24139,2292.3799999999983
113,201108,24140,2620.410000000002
114,201109,24141,2527.079999999998
115,201110,24142,2281.2899999999927
116,201111,24143,1913.4699999999946
117,201112,24144,1989.4399999999966
118,201201,24145,1917.1599999999937
119,201202,24146,1994.5099999999961
120,201203,24147,1935.6999999999953
121,201204,24148,1808.2799999999952
122,201205,24149,1587.8299999999974
123,201206,24150,1834.1799999999992
124,201207,24151,1792.6799999999967
125,201208,24152,1602.7699999999963
126,201209,24153,1438.6300000000015
127,201210,24154,1122.2299999999968
128,201211,24155,1154.8199999999963
129,201212,24156,1162.2500000000005
130,201301,24157,1308.4499999999975
131,201302,24158,1434.1999999999953
132,201303,24159,1438.9999999999973
133,201304,24160,1190.1099999999997
134,201305,24161,919.0299999999983
135,201306,24162,1068.7399999999946
136,201307,24163,1112.2599999999975
137,201308,24164,1054.1300000000012
138,201309,24165,955.2999999999968
139,201310,24166,1009.6099999999989
140,201311,24167,965.9599999999996
141,201312,24168,935.8600000000065
142,201401,24169,943.0800000000045
143,201402,24170,1080.2900000000072
144,201403,24171,953.8000000000039
145,201404,24172,1002.0500000000034
146,201405,24173,970.3300000000049
147,201406,24174,1022.9000000000052
