a,c,b,d,code,nts,thres,dir
3,28,9,108,FAC10,0.7948717948717948,2.6144904674423661,up
6,25,14,103,FAC11,0.6182336182336182,-1.6394952388872643,down
4,27,7,110,FAC12,0.4636752136752137,-2.2286507291189479,down
7,24,19,98,FAC13,0.7191697191697192,0.98539988689228908,up
6,25,10,107,FAC14,0.44159544159544156,1.5020232439173684,up
29,2,83,34,FAC15,0.7583259652225169,-0.9135291784414421,up
2,29,1,116,FAC16,0.13247863247863248,-2.5508534864476067,down
9,22,6,111,FAC8,0.17663817663817663,-2.044023056468081,down
17,14,28,89,FAC9,0.43640020110608346,0.93804050382601245,up
27,4,18,99,FAC2,0.17663817663817663,2.2683588314474061,up
1,30,1,116,FAC3,0.26495726495726496,5.5041425739643479,up
12,19,11,106,FAC0,0.24287749287749286,-4.006719517882531,down
16,15,9,108,FAC1,0.14903846153846154,-3.6924982942834763,down
4,27,1,116,FAC6,0.06623931623931624,-3.9290488759422191,down
4,27,0,117,FAC7,0.0,-4.8391786473412468,down
2,29,1,116,FAC4,0.13247863247863248,5.124781553849628,up
3,28,1,116,FAC5,0.08831908831908832,-4.0974928327188831,down
