a,c,b,group,d,nts,code,dir,thres,adf_test
14,9,14,공급지표,90,0.22115384615384612,46218,down,-0.8266710942350759,True
16,7,11,경제지표,93,0.15204326923076922,06.02.023.525,up,0.26346046384619481,False
13,10,12,경제지표,92,0.20414201183431954,13.01.006.002.001,down,-0.46897332860093111,False
16,7,8,경제지표,96,0.11057692307692309,13.01.006.002.002,down,-0.32285899302128696,False
10,13,17,운임지표,87,0.37596153846153846,14970,down,-0.37003901944752982,False
11,12,32,수요지표,72,0.6433566433566434,53163,down,-0.28544988034453533,False
12,11,22,수요지표,82,0.4054487179487179,14.09.002.004,up,0.85037452622659127,True
10,13,11,공급지표,93,0.24326923076923074,46204,down,-0.82058677495199261,True
9,14,17,공급지표,87,0.41773504273504275,29894,up,0.68141640773463519,False
14,9,13,수요지표,91,0.20535714285714285,58618,down,-0.61837589812499538,True
11,12,11,수요지표,93,0.22115384615384615,14.09.002.003,down,-0.31868639461707021,False
11,12,16,경제지표,88,0.3216783216783217,06.02.021.426,up,0.851792543957411,True
11,12,16,경제지표,88,0.3216783216783217,06.02.021.424,up,0.62377620543699075,True
13,10,14,공급지표,90,0.23816568047337275,45390,down,-0.99913113898833461,False
20,3,30,공급지표,74,0.3317307692307692,20651,down,-0.15642101470111541,False
7,16,20,운임지표,84,0.631868131868132,97726,down,-0.58590398376979402,False
19,4,66,공급지표,38,0.7682186234817813,30879,up,-0.54143127872331731,False
11,12,29,운임지표,75,0.583041958041958,98499,up,0.65877200517864765,True
8,15,17,공급지표,87,0.4699519230769231,30932,up,0.89556968566374662,True
15,8,9,수요지표,95,0.1326923076923077,14.09.005.014,down,-0.45040411730394603,False
12,11,15,운임지표,89,0.27644230769230765,97738,down,-0.74788942318850371,False
12,11,9,수요지표,95,0.1658653846153846,14.09.005.011,down,-0.43662699746364608,False
14,9,14,수요지표,90,0.22115384615384612,14.09.005.013,down,-0.7431813293783569,False
13,10,8,수요지표,96,0.13609467455621302,14.09.005.012,down,-0.54486401025461972,False
8,15,19,수요지표,85,0.5252403846153846,541309,down,-0.8610976106100533,False
11,12,11,경제지표,93,0.22115384615384615,19597,down,-0.40161386393481402,False
9,14,24,운임지표,80,0.5897435897435899,43520,down,-0.28790697274594967,False
11,12,10,수요지표,94,0.20104895104895107,88944,down,-0.38030984695762116,False
14,9,11,경제지표,93,0.17376373626373626,13.01.006.002.020,down,-0.61664856958700554,False
16,7,29,경제지표,75,0.40084134615384615,13.03.006.001.001,up,0.37504084181093078,True
13,10,15,경제지표,89,0.2551775147928994,13.03.006.001.026,up,0.39152444100218364,False
15,8,22,경제지표,82,0.3243589743589743,13.03.006.001.002,up,0.071206340148290082,False
9,14,18,공급지표,86,0.4423076923076923,30213,up,1.2131960947940907,False
14,9,8,공급지표,96,0.1263736263736264,30234,up,0.11846297299673747,False
6,17,19,공급지표,85,0.7003205128205128,30236,down,-0.43300561635842572,False
9,14,20,경제지표,84,0.4914529914529915,14948,down,-0.24914414968732432,False
18,5,13,공급지표,91,0.1597222222222222,30916,up,0.33259197368979798,False
9,14,21,수요지표,83,0.516025641025641,40482,down,-0.68710203621497556,False
9,14,25,경제지표,79,0.6143162393162394,13.06.001.001,up,0.64244924889082067,False
9,14,22,경제지표,82,0.5405982905982906,13.06.001.002,up,0.49407726054112211,False
9,14,23,수요지표,81,0.5651709401709402,533979,up,0.24586590307861861,False
18,5,19,공급지표,85,0.23344017094017092,46206,down,-0.69110596662813994,True
16,7,11,수요지표,93,0.15204326923076922,533973,down,-0.42235255878144112,False
12,11,12,경제지표,92,0.22115384615384617,13.01.005.002.002,down,-0.52233570143582142,False
12,11,13,경제지표,91,0.23958333333333334,13.01.005.002.020,down,-0.61525099981789622,False
9,14,18,운임지표,86,0.4423076923076923,97730,down,-0.37156438625710853,False
7,16,16,경제지표,88,0.5054945054945056,06.01.010.001.001,down,-0.73439818979979976,False
11,12,10,경제지표,94,0.20104895104895107,13.01.005.002.001,down,-0.73010652669130627,False
17,6,31,공급지표,73,0.40328054298642535,29454,down,-0.17848604219624326,False
16,7,13,공급지표,91,0.1796875,94431,down,-0.52048218182803074,False
11,12,10,경제지표,94,0.20104895104895107,13.03.007.001.005,up,0.50422031044454818,False
11,12,19,공급지표,85,0.381993006993007,45378,down,-0.88227899590023573,False
19,4,10,공급지표,94,0.11639676113360324,69813,down,-0.36729675485257218,False
14,9,13,수요지표,91,0.20535714285714285,29820,up,1.0031152680510611,True
10,13,11,공급지표,93,0.24326923076923074,86174,down,-0.29948448082669343,False
10,13,19,수요지표,85,0.42019230769230764,24447,down,-0.39134887792096335,False
18,5,57,수요지표,47,0.7003205128205129,14.09.005.001,up,-0.18604889635544197,True
9,14,14,경제지표,90,0.34401709401709396,13.01.009.005,up,0.7020347915779741,False
12,11,31,운임지표,73,0.5713141025641025,43515,down,-0.20745839863836704,False
12,11,11,공급지표,93,0.20272435897435895,45376,down,-0.68650852320503131,False
